_id,title,text,query
"<dbpedia:Warren,_Illinois>","Warren, Illinois","Warren is a village in Jo Daviess County, Illinois, United States. The population was 1,428 at the 2010 census, down from 1,496 at the 2000 census.Warren holds several festivals throughout the year. It was the death place of former major league outfielder Abner Dalrymple.",what county is warren il in
"<dbpedia:Grafton,_Illinois>","Grafton, Illinois","Grafton is the oldest city in Jersey County, Illinois, United States. It is located near the confluence of the Illinois and Mississippi Rivers. As of the 2010 U.S. census, the city had a total population of 674. Prior to the Great Flood of 1993, Grafton had enjoyed a stable population of nearly 1,000 residents.Grafton is a part of the Metro-East region and the St. Louis Metropolitan Statistical Area.",what county is grafton illinois located
"<dbpedia:Jerseyville,_Illinois>","Jerseyville, Illinois","Jerseyville is a city in Jersey County, Illinois, United States.  As of the 2010 U.S. census, the city had a total population of 8,465. It is the county seat of Jersey County, and is the largest city in the county.Jerseyville is a part of Southern Illinois, the Metro-East region and the St. Louis Metropolitan Statistical Area.",what county is jerseyville in
"<dbpedia:Scales_Mound,_Illinois>","Scales Mound, Illinois","Scales Mound is a village in Jo Daviess County, Illinois, United States. The population was 376 at the 2010 census, down from 401 in 2000.",what county is scales mound illinois in
"<dbpedia:Stockton,_Illinois>","Stockton, Illinois","Stockton is a village in Jo Daviess County, Illinois, United States. The population was 1,862 at the 2010 census, down from 1,926 at the 2000 census.","what county is stockton, il in?"
"<dbpedia:Brighton,_Illinois>","Brighton, Illinois","Brighton is a village located mostly in Macoupin County and partially in Jersey County, Illinois. As of the 2010 U.S. census, the village had a total population of 2,254. The village's current mayor is Wayne Schafer.Brighton is a part of the Metro-East region and the St. Louis Metropolitan Statistical Area.",where is brighton il
"<dbpedia:Hanover,_Illinois>","Hanover, Illinois","Hanover is a village in Jo Daviess County, Illinois, United States, along the Apple River.  The population was 844 at the 2010 census, up from 836 in 2000.","where is hanover, il"
"<dbpedia:Nora,_Illinois>","Nora, Illinois","Nora is a village in Jo Daviess County, Illinois, United States. The population was 121 at the 2010 census, up from 118 in 2000.",what county is nora illinois in
"<dbpedia:Newton,_Illinois>","Newton, Illinois","Newton is a city in and the county seat of Jasper County, Illinois, United States.  The population was 3,069 at the 2000 Census.  Newton is home to a large coal-fired power plant [1] and Newton Lake State Fish and Wildlife Area.Newton has produced several notable natives. These include Texas Ranger pitcher Ross Wolf, folk singer Burl Ives, and Irene Hunt, who set the historical novel about the Civil War, Across Five Aprils, in and around Newton.",where is newton illinois
"<dbpedia:Menominee,_Illinois>","Menominee, Illinois","Menominee is a village in Jo Daviess County, Illinois, United States. The population was 248 at the 2010 census, up from 237 in 2000. The village is located on the Little Menominee River near East Dubuque and Galena.",where is menominee il
"<dbpedia:Otterville,_Illinois>","Otterville, Illinois","Otterville is an incorporated town in Jersey County, Illinois, United States. As of the 2010 U.S. census, the town had a total population of 126.",what county is otterville il in
"<dbpedia:South_Elgin,_Illinois>","South Elgin, Illinois","South Elgin is a village in Kane County, Illinois, United States. The population was 16,100 at the 2000 census, and estimated to be 20,758 as of 2005.  In July 2007, Money magazine named South Elgin as 82 of 100 entries in its ""America's Best Places To Live"" edition.",what county is elgin il
"<dbpedia:Dix,_Illinois>","Dix, Illinois","Dix is a village in Jefferson County, Illinois, United States. The population was 494 at the 2000 census. It is part of the Mount Vernon Micropolitan Statistical Area.",what county is dics il
"<dbpedia:Grand_Tower,_Illinois>","Grand Tower, Illinois","Grand Tower is a city in Jackson County, Illinois, United States. The population was 624 at the 2000 census.  The town gets its name from Tower Rock, a landmark island in the Mississippi River.",what county is grand tower il in
"<dbpedia:Waltonville,_Illinois>","Waltonville, Illinois","Waltonville is a village in Jefferson County, Illinois, United States. The population was 422 at the 2000 census. It is part of the Mount Vernon Micropolitan Statistical Area.",what county is waltonville illinois
"<dbpedia:Fidelity,_Illinois>","Fidelity, Illinois","Fidelity is a village in Jersey County, Illinois, United States, located about thirty-five miles north of Saint Louis, Missouri. As of the 2010 census, the village had a total population of 114.The village is usually noted for its postmark.","where is fidelity, il"
"<dbpedia:Elsah,_Illinois>","Elsah, Illinois","Elsah is a village in Jersey County, Illinois, United States. As of the 2010 U.S. census, the village had a total population of 673. Cyrus Bunting is the village's current acting mayor.It is the home of Principia College.Elsah is a part of the Metro-East region and the St. Louis Metropolitan Statistical Area.",what county is elsah il in
"<dbpedia:Hamilton,_Illinois>","Hamilton, Illinois","Hamilton is a city in Hancock County, Illinois, United States. The population was 2,951 at the 2010 census, a decline from 3,029 in 2000. The city is located directly across the Mississippi River from Keokuk, Iowa. Hamilton is the largest city in Hancock County.",what county is hamilton il located
"<dbpedia:Montgomery,_Illinois>","Montgomery, Illinois","Montgomery is a village in Kane and Kendall counties, Illinois.  The population was 5,471 at the 2000 census, while the 2010 census lists Montgomery's population at 18,438.  This is a 237 percent increase from 2000, making Montgomery the 9th fastest growing municipality in Illinois during this period.  Complete census data from the 2010 Census in Montgomery can be found here: http://censusviewer.com/city/IL/Montgomery.",what county is montgomery il
"<dbpedia:Elburn,_Illinois>","Elburn, Illinois","Elburn is a village in Kane County, Illinois, United States. The population was 5,602 as of the 2010 census, up from 2,756 at the 2000 census. It is located at the intersection of Illinois Route 38 and Route 47. Elburn is a far-west suburb situated 46 miles (74 km) due west of the Chicago Loop with frequent commuter rail service from its Metra station at the end of the Union Pacific West Line.",what county is elburn illinois in
"<dbpedia:Vienna,_Illinois>","Vienna, Illinois","For the Illinois village formerly known as Vienna, see Astoria, IllinoisVienna /vaɪˈænə/ is a city in Johnson County, Illinois, United States. The population was 1,434 at the 2010 census.  It is the county seat of Johnson County and the site of two well-known state penitentiaries.The town's name is pronounced differently, by most people, from the English name for the Austrian capital of the same name.",what county is vienna illinois
"<dbpedia:Sleepy_Hollow,_Illinois>","Sleepy Hollow, Illinois","Sleepy Hollow is a village in Kane County, Illinois, United States 30 miles northwest of Chicago. The population was 3,553 at the 2000 census.Various streets in the village are named after characters in Washington Irving's The Legend of Sleepy Hollow.  Other streets are named after trees.  Still other streets, particularly in the subdivision of Saddle Club Estates, are named after horse racing tracks.  These street names include Saratoga, Churchill, Arlington and Belmont.",what county is sleepy hollow il in
"<dbpedia:Kewanee,_Illinois>","Kewanee, Illinois","Kewanee is a city in Henry County, Illinois, United States. ""Kewanee"" is the Winnebago word for prairie chicken, which lekked there. The population was 12,916 at the 2010 census, down from 12,944 at the 2000 census.","what county is kewanee, il in?"
"<dbpedia:Beaverville,_Illinois>","Beaverville, Illinois","Beaverville (formerly St. Marye) is a village in Beaverville Township, Iroquois County, Illinois, United States. The population was 391 at the 2000 census.",population of beaverville illinois
"<dbpedia:Cissna_Park,_Illinois>","Cissna Park, Illinois","Cissna Park is a village in Pigeon Grove Township, Iroquois County, Illinois, United States. The population was 811 at the 2000 census.","what county is cissna park, il in"
"<dbpedia:Ashkum,_Illinois>","Ashkum, Illinois","Ashkum is a village in Ashkum Township, Iroquois County, Illinois, United States. The population was 724 at the 2000 census.",what county is ashkum il in
"<dbpedia:Crescent_City,_Illinois>","Crescent City, Illinois","Crescent City is a village in Iroquois and Crescent townships, Iroquois County, Illinois, United States. The population was 631 at the 2000 census.",where is crescent city il
"<dbpedia:Huntley,_Illinois>","Huntley, Illinois","Huntley is a village in McHenry and Kane Counties, Illinois. In 2008, the U.S. Census Bureau estimated the village's population to be 22,923. As of the 2000 Census, the village had 5,730 people, meaning the village's population had quadrupled in eight years. At the 2010 census, the village's population was 24,291.",what county is huntley illinois in
"<dbpedia:Loda,_Illinois>","Loda, Illinois","Loda is a village in Loda Township, Iroquois County, Illinois, United States. As of the 2000 census, its population was 419.",what county is loda illinois
"<dbpedia:Buckley,_Illinois>","Buckley, Illinois","Buckley is a village in Artesia Township, Iroquois County, Illinois, United States. The population was 593 at the 2000 census.",population of buckley il
"<dbpedia:Iroquois,_Illinois>","Iroquois, Illinois","Iroquois is a village in Concord Township, Iroquois County, Illinois, United States, along the Iroquois River.  In the 2000 census, the village had a population of 207.","what county is iroquois, il in?"
"<dbpedia:Danforth,_Illinois>","Danforth, Illinois","Danforth is a village in Danforth Township, Iroquois County, Illinois, United States. The population was 587 at the 2000 census.","danforth, il is what county"
"<dbpedia:Clifton,_Illinois>","Clifton, Illinois","Clifton is a village in Chebanse Township, Iroquois County, Illinois, United States. The population was 1,317 at the 2000 census, and 1,226 in 2009.",what county is clifton illinois in
"<dbpedia:Gilman,_Illinois>","Gilman, Illinois","Gilman is a city in Douglas Township, Iroquois County, Illinois, United States. The population was 1,793 at the 2000 census, and 1,677 in 2009.",what county is gilman il
"<dbpedia:Thawville,_Illinois>","Thawville, Illinois","Thawville is a village in Ridgeland Township, Iroquois County, Illinois, United States. The population was 258 at the 2000 census.  It is the boyhood home of scholar Andy Freehill, author of The Ontology of the Living Deity",what county is tawville il
"<dbpedia:Donovan,_Illinois>","Donovan, Illinois","Donovan is a village in Beaver Township, Iroquois County, Illinois, United States. The population was 351 at the 2000 census.",what county is donovan il in
"<dbpedia:Martinton,_Illinois>","Martinton, Illinois","Martinton is a village in Martinton Township, Iroquois County, Illinois, United States. The population was 375 at the 2000 census.",what county is martinton illinois
"<dbpedia:Sheldon,_Illinois>","Sheldon, Illinois","Sheldon is a village in Sheldon Township, Iroquois County, Illinois, United States. The population was 1,232 at the 2000 census, and 1,130 in 2009.",where is sheldon illinois
"<dbpedia:Buckingham,_Illinois>","Buckingham, Illinois","Buckingham is a village in Kankakee County, Illinois, United States. The population was 237 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.",what county is buckingham illinois in
"<dbpedia:Altona,_Illinois>","Altona, Illinois","Altona (formerly LaPier & Walnut Grove) is a village in Knox County, Illinois, United States. The population was 531 at the 2010 census, down from 570 in 2000. It is part of the Galesburg Micropolitan Statistical Area.",where is altona il
"<dbpedia:Aroma_Park,_Illinois>","Aroma Park, Illinois","Aroma Park (formerly Waldron) is a village in Kankakee County, Illinois, along the Kankakee River opposite the mouth of the Iroquois River. Aroma Park's population was 821 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.",what county is aroma park il in
"<dbpedia:Henderson,_Illinois>","Henderson, Illinois","Henderson is a village in Knox County, Illinois, United States. The population was 319 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",what county is henderson il
"<dbpedia:Rio,_Illinois>","Rio, Illinois","Rio is a village in Knox County, Illinois, United States. The population was 240 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.Rio is pronounced Rye-Oh.",what county is rio il in
"<dbpedia:Knoxville,_Illinois>","Knoxville, Illinois","Knoxville is a city in Knox County, Illinois, United States. The population was 3,495 at the 2010 census. It is part of the Galesburg Micropolitan Statistical Area.","where is knoxville, illinois?"
"<dbpedia:Oneida,_Illinois>","Oneida, Illinois","Oneida is a city in Knox County, Illinois, United States. The population was 700 at the 2010 census, down from 750 in 2000. It is part of the Galesburg Micropolitan Statistical Area.","what county is oneida, illinois in"
"<dbpedia:Essex,_Illinois>","Essex, Illinois","Essex is a village in Kankakee County, Illinois, United States. The population was 554 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.",where is essex il
"<dbpedia:Papineau,_Illinois>","Papineau, Illinois","Papineau is a village in Papineau Township, Iroquois County, Illinois, United States. The population was 196 at the 2000 census.",what county is papineau il in
"<dbpedia:Bradley,_Illinois>","Bradley, Illinois","Bradley (formerly North Kankakee) is a village in Kankakee County, Illinois, United States. The population was 12,784 at the 2000 census, 15,070 in 2009, and 15,871 in 2012.Bradley is a principal city of the Kankakee–Bradley Metropolitan Statistical Area, which includes all of Kankakee County. The county is also part of the larger Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.",what county is bradley il in
"<dbpedia:Milford,_Illinois>","Milford, Illinois","Milford is a village in Milford Township, Iroquois County, Illinois, United States. The population was 1,369 at the 2000 census, and 1,257 in 2009. The village's name comes from its location, where the Old Hubbard Trail forded the Sugar Creek and where a grist mill stood in 1836 ""\the mill at the ford"").",what county is milford il in
"<dbpedia:Irwin,_Illinois>","Irwin, Illinois","Irwin is a village in Kankakee County, Illinois, United States. The population was 92 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.","what county is irwin, illinois in?"
"<dbpedia:Onarga,_Illinois>","Onarga, Illinois","Onarga is a village in Onarga Township, Iroquois County, Illinois, United States. The population was 1,438 at the 2000 census, and 1,350 in 2009.","where is onarga, il"
"<dbpedia:Bonfield,_Illinois>","Bonfield, Illinois","Bonfield is a village in Kankakee County, Illinois, United States. Bonfield's population was 364 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.Although founded by quarryman Thomas Verkler, the village was named after Thomas Bonfield, an attorney for the Kankakee & Seneca Railroad Company, which established a depot in the village. A name was needed for this depot, someone suggested ""Bonfield"", and that's what stuck.",what county is bonfield il
"<dbpedia:Wellington,_Illinois>","Wellington, Illinois","Wellington is a village in Lovejoy Township, Iroquois County, Illinois, United States. The population was 264 at the 2000 census.",what county is wellington il in
"<dbpedia:Reddick,_Illinois>","Reddick, Illinois","Reddick is a village in Kankakee County, Illinois, United States. A very small portion of the village extends into Livingston County. The population was 219 at the 2000 census.The Kankakee County portion of Reddick is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area, while the small Livingston County portion is part of the Pontiac Micropolitan Statistical Area.As of 1988, children living in the village and surrounding area attend schools in Herscher School District #2.",where is reddick illinois located
"<dbpedia:St._Anne,_Illinois>","St. Anne, Illinois","St. Anne is a village in Kankakee County, Illinois, United States. The population was 1,212 at the 2000 census, and 1,247 in 2009. It is part of the Kankakee–Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area. It was founded by a French Canadian Roman Catholic priest (who later converted to Protestantism) and friend of Abraham Lincoln by the name of Charles Chiniquy,","what county is saint anne, il"
"<dbpedia:Maquon,_Illinois>","Maquon, Illinois","Maquon is a village in Knox County, Illinois, United States. The population was 318 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",what county is maquon il
"<dbpedia:Grant_Park,_Illinois>","Grant Park, Illinois","Grant Park is a village in Kankakee County, Illinois, United States. Grant Park was incorporated in 1883.[1].  In 2010, Grant Park had a population of 1,331. It is part of the Kankakee–Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area. Much of the town was destroyed by a cyclone in 1912, according to Frank Leslie's Weekly magazine, which ran pictures.",what county is grant park il in
"<dbpedia:Lisbon,_Illinois>","Lisbon, Illinois","Lisbon is a village in Kendall County, Illinois, United States.  The population was 248 at the 2000 census.",what county is lisbon il in
"<dbpedia:Williamsfield,_Illinois>","Williamsfield, Illinois","Williamsfield is a village in Knox County, Illinois, United States. The population was 620 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",what county is williamsfield il
"<dbpedia:Union_Hill,_Illinois>","Union Hill, Illinois","Union Hill is a village in Kankakee County, Illinois, United States. The population was 66 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.",what county is union hill illinois in
"<dbpedia:West_Dundee,_Illinois>","West Dundee, Illinois","West Dundee is a village in Kane County, Illinois, United States. The population was 7,331 as of the 2010 US Census. It is considered a far west Chicago suburb. West Dundee lies across the Fox River from East Dundee and Carpentersville.","what county is west dundee, il in"
"<dbpedia:Woodland,_Illinois>","Woodland, Illinois","Woodland is a village in Belmont Township, Iroquois County, Illinois, United States. The population was 319 at the 2000 census.","what county is woodland, il in"
"<dbpedia:Wataga,_Illinois>","Wataga, Illinois","Wataga is a village in Knox County, Illinois, United States. The population was 843 at the 2010 census, down from 857 in 2000. It is part of the Galesburg Micropolitan Statistical Area.",what county is wataga illinois
"<dbpedia:Boulder_Hill,_Illinois>","Boulder Hill, Illinois","Boulder Hill is a census-designated place (CDP) in Oswego Township, Kendall County, Illinois, United States. The population was 8,108 at the 2010 census.",what county is boulder hill illinois
"<dbpedia:Watseka,_Illinois>","Watseka, Illinois","Watseka is a city in and the county seat of Iroquois County, Illinois, United States.  It is located approximately 15 miles (24 km) west of the Illinois-Indiana state line on U.S. Route 24.The population of Watseka was 5,255 according to the 2010 census, which was a 7.3 percent decrease from the 2000 census.",where is witseka illinois located
"<dbpedia:Hopkins_Park,_Illinois>","Hopkins Park, Illinois","Hopkins Park is a village in Kankakee County, Illinois, United States. The population was 711 at the 2000 census. It is part of the Kankakee–Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.",what county is hopkins park il
"<dbpedia:St._Augustine,_Illinois>","St. Augustine, Illinois","St. Augustine is a village in Knox County, Illinois, United States. The population was 152 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",where is st augustine il
"<dbpedia:Herscher,_Illinois>","Herscher, Illinois","Herscher is a village in Kankakee County, Illinois, United States. The population was 1,523 at the 2000 census, and 1,619 as of a 2009 estimate. It is part of the Kankakee–Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.",what county is herscher il in
"<dbpedia:East_Galesburg,_Illinois>","East Galesburg, Illinois","East Galesburg is a village in Knox County, Illinois, United States. The population was 812 as of the 2010 census, down from 839 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.","what county is galesburg, il in"
"<dbpedia:Sun_River_Terrace,_Illinois>","Sun River Terrace, Illinois","Sun River Terrace is a village in Kankakee County, Illinois, United States. The population was 383 at the 2000 census. It is included in the Kankakee-Bradley, Illinois Metropolitan Statistical Area.",sun river terrace il is in what county
"<dbpedia:Millington,_Illinois>","Millington, Illinois","Millington is a village in Kendall and LaSalle counties in the U.S. state of Illinois. The population was 458 at the 2000 census.The Kendall County portion of Millington is part of the Chicago–Naperville–Joliet Metropolitan Statistical Area, while the LaSalle County portion is part of the Ottawa–Streator Micropolitan Statistical Area.","population of millington, il"
"<dbpedia:Victoria,_Illinois>","Victoria, Illinois","Victoria is a village in Knox County, Illinois, United States. The population was 323 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",what county is victoria il in?
"<dbpedia:Abingdon,_Illinois>","Abingdon, Illinois","Abingdon is a city in Knox County, Illinois, 50 miles (80 km) west of Peoria. It is part of the Galesburg Micropolitan Statistical Area. The city was first settled in 1828 and was incorporated in 1857. In 1894, the patent for the common spring-loaded mousetrap was given to William Hooker of Abingdon, Illinois.In 1890, 1,321 people lived here; in 1900, 2,022; and in 1910, 2,464. The population was 3,612 at the 2000 census.",what county is abingdon il
"<dbpedia:Bourbonnais,_Illinois>","Bourbonnais, Illinois","Bourbonnais (pronounced /bʊərboʊˈneɪ/ or /bɜrˈboʊnɪs/) is a village in Kankakee County, Illinois, United States. The population was 15,256 at the 2000 census, but had grown to 18,631 in for the 2010 census. It is part of the Kankakee-Bourbonnais-Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.","what county is boubonneau, il"
"<dbpedia:Newark,_Illinois>","Newark, Illinois","Newark is a village in Kendall County, Illinois, United States. The population was 887 at the 2000 census.",what county is newark illinois
"<dbpedia:Yates_City,_Illinois>","Yates City, Illinois","Yates City is a village in Knox County, Illinois, United States. The population was 725 at the 2000 census. It is part of the Galesburg Micropolitan Statistical Area.",what county is yates city il
"<dbpedia:Momence,_Illinois>","Momence, Illinois","Momence is a city in Kankakee County, Illinois, United States. The population was 3,171 at the 2000 census, and 3,063 in 2009. It is part of the Kankakee–Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.","what county is momence, il in"
"<dbpedia:Galesburg,_Illinois>","Galesburg, Illinois","Galesburg is a city in Knox County, Illinois, in the United States. This city is forty-five miles northwest of Peoria. As of the 2010 census, the city population was 32,195.","where is galesburg, il"
"<dbpedia:Plano,_Illinois>","Plano, Illinois","Plano is a city in Kendall County, Illinois, United States near Aurora, with a population of 10,856 at the 2010 census, nearly doubling its size from the 2000 census.  The city was home to the Plano Harvester Company in the late nineteenth century, as well as the Plano Molding Company more recently. In 2011, downtown Plano was used as a set for Man of Steel.",plano il is in what county
"<dbpedia:Virgil,_Illinois>","Virgil, Illinois","Virgil is a village in Virgil Township, Kane County, Illinois, United States. It was incorporated as a village on November 6, 1990. The population was 329 at the 2010 census, up from 266 at the 2000 census.","what county is virgil, il in"
"<dbpedia:Cedar_Point,_Illinois>","Cedar Point, Illinois","Cedar Point is a village in LaSalle County, Illinois, United States. The population was 277 at the 2010 census, up from 262 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area. North of town was the Cedar Point Mine, which operated between  1906 and 1924.",what county is cedar point illinois in
"<dbpedia:Manteno,_Illinois>","Manteno, Illinois","Manteno is a village in Kankakee County, Illinois, United States. The population is 9,300 in 2012. It is part of the Kankakee-Bourbonnais-Bradley Metropolitan Statistical Area and the Chicago–Naperville–Michigan City, IL-IN-WI Combined Statistical Area.",manteno illinois is what county
"<dbpedia:Kangley,_Illinois>","Kangley, Illinois","Kangley is a village in LaSalle County, Illinois, United States. The population was 287 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.  It is a part of the geographic region known as Streatorland.","what county is kangley, il in"
"<dbpedia:Leonore,_Illinois>","Leonore, Illinois","Leonore is a village in LaSalle County, Illinois, United States. The population was 110 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area. Known locally as the site of a famous bank robbery.  It can arguably be a part of the geographic region known as Streatorland.",what county is leonore il
"<dbpedia:Lostant,_Illinois>","Lostant, Illinois","Lostant is a village in LaSalle County, Illinois, United States. The population was 486 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.",what county is lostant il in
"<dbpedia:Yorkville,_Illinois>","Yorkville, Illinois","Yorkville (Official name: United City of Yorkville) is a city located in Kendall County, Illinois, United States. The population was 6,189 at the 2000 United States Census and had grown to 16,921 as of the 2010 census. It is the county seat of Kendall County. Yorkville is located in the center of Kendall County, the fastest growing county in Illinois and according to recent statistics released in June 2010, by CNN, is the fastest growing county in the United States.",where is yorkville il located
"<dbpedia:Leland,_Illinois>","Leland, Illinois","Leland is a village in LaSalle County, Illinois, United States. The population was 970 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.",what county is leland il
"<dbpedia:Dana,_Illinois>","Dana, Illinois","Dana is a village in LaSalle County, Illinois, Illinois, United States. As of the 2010 census, the village had a total population of 159, down from 171 at the 2000 census. It is part of the Ottawa-Streator Micropolitan Statistical Area.  It is a part of the geographic region known as Streatorland.",dana il is what county
"<dbpedia:Earlville,_Illinois>","Earlville, Illinois","Earlville is a city in LaSalle County, Illinois, United States. The population was 1,701 at the 2010 census, and was estimated to be 1,661 by July 2013. It is part of the Ottawa-Peru, IL Micropolitan Statistical Area.",what county is earlville il in?
"<dbpedia:Joliet,_Illinois>","Joliet, Illinois","Joliet (/ˈdʒoʊli.ɛt/ or /dʒoʊliˈɛt/) is a city in the U.S. state of Illinois, 40 miles (64 km) southwest of Chicago. It is the county seat of Will County. At the 2010 census, the city was the fourth largest in Illinois, with a population of 147,433.",where is joliet il
"<dbpedia:Naplate,_Illinois>","Naplate, Illinois","Naplate is a village in LaSalle County, Illinois, United States. The population was 523 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.",what county is napelle il in?
"<dbpedia:Marseilles,_Illinois>","Marseilles, Illinois","Marseilles is a city in LaSalle County, Illinois, United States. The population was 5,094 at the 2010 census, and was estimated to be 5,032 by July 2013. It is part of the Ottawa-Peru, IL Micropolitan Statistical Area.",what county is marseilles in
"<dbpedia:Ransom,_Illinois>","Ransom, Illinois","Ransom is a village in LaSalle County, Illinois, United States. The population was 409 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area. It is part of the subregion known as Streatorland.",where is ransom il
"<dbpedia:Peru,_Illinois>","Peru, Illinois","Peru is a city in LaSalle County, Illinois, United States. The population was 10,295 at the 2010 census. It is part of the Ottawa–Streator Micropolitan Statistical Area. Peru and its twin city, LaSalle, make up the core of Illinois Valley.",what county is peru il in
"<dbpedia:Rutland,_Illinois>","Rutland, Illinois","Rutland is a village located mostly in LaSalle County that stretches into Marshall County, Illinois, United States. It is part of the Ottawa–Streator Micropolitan Statistical Area, and at the 2000 census, the population was 354.","what county is rutland, il"
"<dbpedia:Grand_Ridge,_Illinois>","Grand Ridge, Illinois","Grand Ridge is a village in LaSalle County, Illinois, United States. The population was 560 at the 2010 census, up from 546 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area. It is a part of the geographic region known as Streatorland.",where is grand ridge illinois
"<dbpedia:Oglesby,_Illinois>","Oglesby, Illinois","Oglesby is a city in LaSalle County, Illinois, United States. The population was 3,791 at the 2010 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.",where is oglesby il
"<dbpedia:Tonica,_Illinois>","Tonica, Illinois","""Tonica"" redirects here. For the Native American tribes see Tunica people. For the concealer moth genus, see Tonica (moth).Tonica is a village in LaSalle County, Illinois, United States. The population was 685 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.Tonica is mainly farmland, with a few businesses.  It has its own grade school, Tonica Grade School (K-8), with approximately 194 students enrolled.","where is tonica, illinois"
"<dbpedia:Troy_Grove,_Illinois>","Troy Grove, Illinois","Troy Grove is a village in LaSalle County, Illinois, United States. The population was 305 at the 2000 census. It is part of the Ottawa–Streator Micropolitan Statistical Area.Troy Grove is notable as the birthplace of Wild Bill Hickok. Silica sand, a fine white sand used in making glass, is mined in the vicinity of Troy Grove.",what county is troy grove
